date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:33:00	72677/72677	---M-Z	200	added ('OK')	text/html	etag:%2231c0507-11be5-569c3fce5a180-gzip%22	https://hencework.com/theme/doodle-demo/full-width-light/index.html	C:/wamp64/www/theme-tempalet/dashboard7/doodle/hencework.com/theme/doodle-demo/full-width-light/index.html	(from )
12:33:04	3859/3859	---M-Z	404	error ('Not%20Found')	text/html	etag:%2230a3594-5515-5985b648d9700-gzip%22	https://hencework.com/robots.txt		(from )
12:33:04	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2231c04f1-47e-51ea866f19280%22	https://hencework.com/theme/doodle-demo/full-width-light/favicon.ico	C:/wamp64/www/theme-tempalet/dashboard7/doodle/hencework.com/theme/doodle-demo/full-width-light/favicon.ico	(from https://hencework.com/theme/doodle-demo/full-width-light/index.html)
12:33:04	435/435	---M--	200	added ('OK')	text/css	etag:%2232827c4-1b3-5382d8a264180%22	https://hencework.com/theme/vendors/bower_components/morris.js/morris.css	C:/wamp64/www/theme-tempalet/dashboard7/doodle/hencework.com/theme/vendors/bower_components/morris.js/morris.css	(from https://hencework.com/theme/doodle-demo/full-width-light/index.html)
12:33:04	13587/13587	---M--	200	added ('OK')	text/css	etag:%223242fcc-3513-53afe033d3380%22	https://hencework.com/theme/vendors/bower_components/datatables/media/css/jquery.dataTables.min.css	C:/wamp64/www/theme-tempalet/dashboard7/doodle/hencework.com/theme/vendors/bower_components/datatables/media/css/jquery.dataTables.min.css	(from https://hencework.com/theme/doodle-demo/full-width-light/index.html)
12:33:05	4508/4508	---M--	200	added ('OK')	text/css	etag:%223262de2-119c-53bddc6486e00%22	https://hencework.com/theme/vendors/bower_components/jquery-toast-plugin/dist/jquery.toast.min.css	C:/wamp64/www/theme-tempalet/dashboard7/doodle/hencework.com/theme/vendors/bower_components/jquery-toast-plugin/dist/jquery.toast.min.css	(from https://hencework.com/theme/doodle-demo/full-width-light/index.html)
12:33:05	3645/3645	---M--	200	added ('OK')	image/png	etag:%2231c057e-e3d-547b9e0777400%22	https://hencework.com/theme/doodle-demo/img/logo.png	C:/wamp64/www/theme-tempalet/dashboard7/doodle/hencework.com/theme/doodle-demo/img/logo.png	(from https://hencework.com/theme/doodle-demo/full-width-light/index.html)
12:33:05	61609/61609	---M-Z	200	added ('OK')	text/html	etag:%2230a403d-f0a9-58369cc491e60-gzip%22	https://hencework.com/theme/doodle-demo/full-width-light/weather.html	C:/wamp64/www/theme-tempalet/dashboard7/doodle/hencework.com/theme/doodle-demo/full-width-light/weather.html	(from https://hencework.com/theme/doodle-demo/full-width-light/index.html)
12:33:05	87164/87164	---M-Z	200	added ('OK')	text/html	etag:%2231c0505-1547c-569c3fce5a180-gzip%22	https://hencework.com/theme/doodle-demo/full-width-light/inbox.html	C:/wamp64/www/theme-tempalet/dashboard7/doodle/hencework.com/theme/doodle-demo/full-width-light/inbox.html	(from https://hencework.com/theme/doodle-demo/full-width-light/index.html)
12:33:05	776969/776969	---M--	200	added ('OK')	text/css	etag:%2231c0462-bdb09-569c406e91b80%22	https://hencework.com/theme/doodle-demo/full-width-light/dist/css/style.css	C:/wamp64/www/theme-tempalet/dashboard7/doodle/hencework.com/theme/doodle-demo/full-width-light/dist/css/style.css	(from https://hencework.com/theme/doodle-demo/full-width-light/index.html)
12:33:06	55978/55978	---M-Z	200	added ('OK')	text/html	etag:%2231c0449-daaa-569c3fce5a180-gzip%22	https://hencework.com/theme/doodle-demo/full-width-light/calendar.html	C:/wamp64/www/theme-tempalet/dashboard7/doodle/hencework.com/theme/doodle-demo/full-width-light/calendar.html	(from https://hencework.com/theme/doodle-demo/full-width-light/index.html)
12:33:06	56445/56445	---M-Z	200	added ('OK')	text/html	etag:%2231c0532-dc7d-569c3fce5a180-gzip%22	https://hencework.com/theme/doodle-demo/full-width-light/vector-map.html	C:/wamp64/www/theme-tempalet/dashboard7/doodle/hencework.com/theme/doodle-demo/full-width-light/vector-map.html	(from https://hencework.com/theme/doodle-demo/full-width-light/index.html)
12:33:06	74579/74579	---M-Z	200	added ('OK')	text/html	etag:%2231c044d-12353-569c3fce5a180-gzip%22	https://hencework.com/theme/doodle-demo/full-width-light/chats.html	C:/wamp64/www/theme-tempalet/dashboard7/doodle/hencework.com/theme/doodle-demo/full-width-light/chats.html	(from https://hencework.com/theme/doodle-demo/full-width-light/index.html)
12:33:06	82875/82875	---M-Z	200	added ('OK')	text/html	etag:%2231c044e-143bb-569c3fce5a180-gzip%22	https://hencework.com/theme/doodle-demo/full-width-light/contact-card.html	C:/wamp64/www/theme-tempalet/dashboard7/doodle/hencework.com/theme/doodle-demo/full-width-light/contact-card.html	(from https://hencework.com/theme/doodle-demo/full-width-light/index.html)
12:33:07	78507/78507	---M-Z	200	added ('OK')	text/html	etag:%2230a5982-132ab-584ab7c43afb8-gzip%22	https://hencework.com/theme/doodle-demo/full-width-light/index2.html	C:/wamp64/www/theme-tempalet/dashboard7/doodle/hencework.com/theme/doodle-demo/full-width-light/index2.html	(from https://hencework.com/theme/doodle-demo/full-width-light/index.html)
12:33:07	73645/73645	---M-Z	200	added ('OK')	text/html	etag:%2231c0509-11fad-569c3fce5a180-gzip%22	https://hencework.com/theme/doodle-demo/full-width-light/index3.html	C:/wamp64/www/theme-tempalet/dashboard7/doodle/hencework.com/theme/doodle-demo/full-width-light/index3.html	(from https://hencework.com/theme/doodle-demo/full-width-light/index.html)
12:33:07	100917/100917	---M-Z	200	added ('OK')	text/html	etag:%2231c051e-18a35-569c3fce5a180-gzip%22	https://hencework.com/theme/doodle-demo/full-width-light/profile.html	C:/wamp64/www/theme-tempalet/dashboard7/doodle/hencework.com/theme/doodle-demo/full-width-light/profile.html	(from https://hencework.com/theme/doodle-demo/full-width-light/index.html)
12:33:07	88264/88264	---M-Z	200	added ('OK')	text/html	etag:%2231c0534-158c8-569c3fce5a180-gzip%22	https://hencework.com/theme/doodle-demo/full-width-light/widgets.html	C:/wamp64/www/theme-tempalet/dashboard7/doodle/hencework.com/theme/doodle-demo/full-width-light/widgets.html	(from https://hencework.com/theme/doodle-demo/full-width-light/index.html)
12:33:07	79567/79567	---M-Z	200	added ('OK')	text/html	etag:%2231c04e9-136cf-569c3fce5a180-gzip%22	https://hencework.com/theme/doodle-demo/full-width-light/documentation.html	C:/wamp64/www/theme-tempalet/dashboard7/doodle/hencework.com/theme/doodle-demo/full-width-light/documentation.html	(from https://hencework.com/theme/doodle-demo/full-width-light/index.html)
12:33:08	84577/84577	---M-Z	200	added ('OK')	text/html	etag:%2231c04ed-14a61-569c3fce5a180-gzip%22	https://hencework.com/theme/doodle-demo/full-width-light/e-commerce.html	C:/wamp64/www/theme-tempalet/dashboard7/doodle/hencework.com/theme/doodle-demo/full-width-light/e-commerce.html	(from https://hencework.com/theme/doodle-demo/full-width-light/index.html)
12:33:08	79688/79688	---M-Z	200	added ('OK')	text/html	etag:%2231c0519-13748-569c3fce5a180-gzip%22	https://hencework.com/theme/doodle-demo/full-width-light/product.html	C:/wamp64/www/theme-tempalet/dashboard7/doodle/hencework.com/theme/doodle-demo/full-width-light/product.html	(from https://hencework.com/theme/doodle-demo/full-width-light/index.html)
12:33:08	61224/61224	---M-Z	200	added ('OK')	text/html	etag:%2231c051c-ef28-569c3fce5a180-gzip%22	https://hencework.com/theme/doodle-demo/full-width-light/product-detail.html	C:/wamp64/www/theme-tempalet/dashboard7/doodle/hencework.com/theme/doodle-demo/full-width-light/product-detail.html	(from https://hencework.com/theme/doodle-demo/full-width-light/index.html)
12:33:08	63611/63611	---M-Z	200	added ('OK')	text/html	etag:%2231c0441-f87b-569c3fce5a180-gzip%22	https://hencework.com/theme/doodle-demo/full-width-light/add-products.html	C:/wamp64/www/theme-tempalet/dashboard7/doodle/hencework.com/theme/doodle-demo/full-width-light/add-products.html	(from https://hencework.com/theme/doodle-demo/full-width-light/index.html)
12:33:08	60707/60707	---M-Z	200	added ('OK')	text/html	etag:%2231c051d-ed23-569c3fce5a180-gzip%22	https://hencework.com/theme/doodle-demo/full-width-light/product-orders.html	C:/wamp64/www/theme-tempalet/dashboard7/doodle/hencework.com/theme/doodle-demo/full-width-light/product-orders.html	(from https://hencework.com/theme/doodle-demo/full-width-light/index.html)
12:33:09	58513/58513	---M-Z	200	added ('OK')	text/html	etag:%2231c051a-e491-569c3fce5a180-gzip%22	https://hencework.com/theme/doodle-demo/full-width-light/product-cart.html	C:/wamp64/www/theme-tempalet/dashboard7/doodle/hencework.com/theme/doodle-demo/full-width-light/product-cart.html	(from https://hencework.com/theme/doodle-demo/full-width-light/index.html)
12:33:09	66907/66907	---M-Z	200	added ('OK')	text/html	etag:%2231c051b-1055b-569c3fce5a180-gzip%22	https://hencework.com/theme/doodle-demo/full-width-light/product-checkout.html	C:/wamp64/www/theme-tempalet/dashboard7/doodle/hencework.com/theme/doodle-demo/full-width-light/product-checkout.html	(from https://hencework.com/theme/doodle-demo/full-width-light/index.html)
12:33:09	48756/48756	---M--	200	added ('OK')	image/jpeg	etag:%2231c0556-be74-53ed823522f80%22	https://hencework.com/theme/doodle-demo/img/chair.jpg	C:/wamp64/www/theme-tempalet/dashboard7/doodle/hencework.com/theme/doodle-demo/img/chair.jpg	(from https://hencework.com/theme/doodle-demo/full-width-light/index.html)
12:33:09	30135/30135	---M--	200	added ('OK')	image/jpeg	etag:%2231c0557-75b7-53ed823522f80%22	https://hencework.com/theme/doodle-demo/img/chair2.jpg	C:/wamp64/www/theme-tempalet/dashboard7/doodle/hencework.com/theme/doodle-demo/img/chair2.jpg	(from https://hencework.com/theme/doodle-demo/full-width-light/index.html)
12:33:10	42035/42035	---M--	200	added ('OK')	image/jpeg	etag:%2231c0558-a433-53ed823522f80%22	https://hencework.com/theme/doodle-demo/img/chair3.jpg	C:/wamp64/www/theme-tempalet/dashboard7/doodle/hencework.com/theme/doodle-demo/img/chair3.jpg	(from https://hencework.com/theme/doodle-demo/full-width-light/index.html)
