date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:50:26	72389/72389	---M-Z	200	added ('OK')	text/html	etag:%2230a18c7-11ac5-5699b4579a280-gzip%22	https://hencework.com/theme/droopy/full-width-light/index.html	C:/wamp64/www/theme-tempalet/dashboard8/droopy/hencework.com/theme/droopy/full-width-light/index.html	(from )
16:50:32	3859/3859	---M-Z	404	error ('Not%20Found')	text/html	etag:%2230a3594-5515-5985b648d9700-gzip%22	https://hencework.com/robots.txt		(from )
16:50:34	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2230a18b2-47e-51ea866f19280%22	https://hencework.com/theme/droopy/full-width-light/favicon.ico	C:/wamp64/www/theme-tempalet/dashboard8/droopy/hencework.com/theme/droopy/full-width-light/favicon.ico	(from https://hencework.com/theme/droopy/full-width-light/index.html)
16:51:59	4508/4508	---M--	200	added ('OK')	text/css	etag:%223262de2-119c-53bddc6486e00%22	https://hencework.com/theme/vendors/bower_components/jquery-toast-plugin/dist/jquery.toast.min.css	C:/wamp64/www/theme-tempalet/dashboard8/droopy/hencework.com/theme/vendors/bower_components/jquery-toast-plugin/dist/jquery.toast.min.css	(from https://hencework.com/theme/droopy/full-width-light/index.html)
16:51:59	1280/1280	---M--	200	added ('OK')	image/png	etag:%2230e1ccd-500-5619b96f4bd00%22	https://hencework.com/theme/droopy/img/logo.png	C:/wamp64/www/theme-tempalet/dashboard8/droopy/hencework.com/theme/droopy/img/logo.png	(from https://hencework.com/theme/droopy/full-width-light/index.html)
16:52:00	61741/61741	---M-Z	200	added ('OK')	text/html	etag:%2230a402e-f12d-58367a9233c8f-gzip%22	https://hencework.com/theme/droopy/full-width-light/weather.html	C:/wamp64/www/theme-tempalet/dashboard8/droopy/hencework.com/theme/droopy/full-width-light/weather.html	(from https://hencework.com/theme/droopy/full-width-light/index.html)
16:52:00	87020/87020	---M-Z	200	added ('OK')	text/html	etag:%2230a18c5-153ec-5699b4579a280-gzip%22	https://hencework.com/theme/droopy/full-width-light/inbox.html	C:/wamp64/www/theme-tempalet/dashboard8/droopy/hencework.com/theme/droopy/full-width-light/inbox.html	(from https://hencework.com/theme/droopy/full-width-light/index.html)
16:52:00	55797/55797	---M-Z	200	added ('OK')	text/html	etag:%2230a184f-d9f5-5699b4579a280-gzip%22	https://hencework.com/theme/droopy/full-width-light/calendar.html	C:/wamp64/www/theme-tempalet/dashboard8/droopy/hencework.com/theme/droopy/full-width-light/calendar.html	(from https://hencework.com/theme/droopy/full-width-light/index.html)
16:52:00	56305/56305	---M-Z	200	added ('OK')	text/html	etag:%2230a18f4-dbf1-5699b4579a280-gzip%22	https://hencework.com/theme/droopy/full-width-light/vector-map.html	C:/wamp64/www/theme-tempalet/dashboard8/droopy/hencework.com/theme/droopy/full-width-light/vector-map.html	(from https://hencework.com/theme/droopy/full-width-light/index.html)
16:52:01	74430/74430	---M-Z	200	added ('OK')	text/html	etag:%2230a1853-122be-5699b4579a280-gzip%22	https://hencework.com/theme/droopy/full-width-light/chats.html	C:/wamp64/www/theme-tempalet/dashboard8/droopy/hencework.com/theme/droopy/full-width-light/chats.html	(from https://hencework.com/theme/droopy/full-width-light/index.html)
16:52:01	82730/82730	---M-Z	200	added ('OK')	text/html	etag:%2230a1854-1432a-5699b4579a280-gzip%22	https://hencework.com/theme/droopy/full-width-light/contact-card.html	C:/wamp64/www/theme-tempalet/dashboard8/droopy/hencework.com/theme/droopy/full-width-light/contact-card.html	(from https://hencework.com/theme/droopy/full-width-light/index.html)
16:52:01	75478/75478	---M-Z	200	added ('OK')	text/html	etag:%2230a18c8-126d6-5699b4579a280-gzip%22	https://hencework.com/theme/droopy/full-width-light/index2.html	C:/wamp64/www/theme-tempalet/dashboard8/droopy/hencework.com/theme/droopy/full-width-light/index2.html	(from https://hencework.com/theme/droopy/full-width-light/index.html)
16:52:01	71655/71655	---M-Z	200	added ('OK')	text/html	etag:%2230a18c9-117e7-5699b4579a280-gzip%22	https://hencework.com/theme/droopy/full-width-light/index3.html	C:/wamp64/www/theme-tempalet/dashboard8/droopy/hencework.com/theme/droopy/full-width-light/index3.html	(from https://hencework.com/theme/droopy/full-width-light/index.html)
16:52:01	64588/64588	---M-Z	200	added ('OK')	text/html	etag:%2230a18ca-fc4c-5699b4579a280-gzip%22	https://hencework.com/theme/droopy/full-width-light/index4.html	C:/wamp64/www/theme-tempalet/dashboard8/droopy/hencework.com/theme/droopy/full-width-light/index4.html	(from https://hencework.com/theme/droopy/full-width-light/index.html)
16:52:02	69282/69282	---M-Z	200	added ('OK')	text/html	etag:%2230a18cb-10ea2-5699b4579a280-gzip%22	https://hencework.com/theme/droopy/full-width-light/index5.html	C:/wamp64/www/theme-tempalet/dashboard8/droopy/hencework.com/theme/droopy/full-width-light/index5.html	(from https://hencework.com/theme/droopy/full-width-light/index.html)
16:52:02	67929/67929	---M-Z	200	added ('OK')	text/html	etag:%2230a18cc-10959-5699b4579a280-gzip%22	https://hencework.com/theme/droopy/full-width-light/index6.html	C:/wamp64/www/theme-tempalet/dashboard8/droopy/hencework.com/theme/droopy/full-width-light/index6.html	(from https://hencework.com/theme/droopy/full-width-light/index.html)
16:52:02	99904/99904	---M-Z	200	added ('OK')	text/html	etag:%2230a18e0-18640-5699b4579a280-gzip%22	https://hencework.com/theme/droopy/full-width-light/profile.html	C:/wamp64/www/theme-tempalet/dashboard8/droopy/hencework.com/theme/droopy/full-width-light/profile.html	(from https://hencework.com/theme/droopy/full-width-light/index.html)
16:52:02	83963/83963	---M-Z	200	added ('OK')	text/html	etag:%2230a18ae-147fb-5699b4579a280-gzip%22	https://hencework.com/theme/droopy/full-width-light/e-commerce.html	C:/wamp64/www/theme-tempalet/dashboard8/droopy/hencework.com/theme/droopy/full-width-light/e-commerce.html	(from https://hencework.com/theme/droopy/full-width-light/index.html)
16:52:02	79549/79549	---M-Z	200	added ('OK')	text/html	etag:%2230a18db-136bd-5699b4579a280-gzip%22	https://hencework.com/theme/droopy/full-width-light/product.html	C:/wamp64/www/theme-tempalet/dashboard8/droopy/hencework.com/theme/droopy/full-width-light/product.html	(from https://hencework.com/theme/droopy/full-width-light/index.html)
16:52:03	61085/61085	---M-Z	200	added ('OK')	text/html	etag:%2230a18de-ee9d-5699b4579a280-gzip%22	https://hencework.com/theme/droopy/full-width-light/product-detail.html	C:/wamp64/www/theme-tempalet/dashboard8/droopy/hencework.com/theme/droopy/full-width-light/product-detail.html	(from https://hencework.com/theme/droopy/full-width-light/index.html)
16:52:03	63430/63430	---M-Z	200	added ('OK')	text/html	etag:%2230a1847-f7c6-5699b45982700-gzip%22	https://hencework.com/theme/droopy/full-width-light/add-products.html	C:/wamp64/www/theme-tempalet/dashboard8/droopy/hencework.com/theme/droopy/full-width-light/add-products.html	(from https://hencework.com/theme/droopy/full-width-light/index.html)
16:52:03	60568/60568	---M-Z	200	added ('OK')	text/html	etag:%2230a18df-ec98-5699b4579a280-gzip%22	https://hencework.com/theme/droopy/full-width-light/product-orders.html	C:/wamp64/www/theme-tempalet/dashboard8/droopy/hencework.com/theme/droopy/full-width-light/product-orders.html	(from https://hencework.com/theme/droopy/full-width-light/index.html)
16:52:03	58332/58332	---M-Z	200	added ('OK')	text/html	etag:%2230a18dc-e3dc-5699b4579a280-gzip%22	https://hencework.com/theme/droopy/full-width-light/product-cart.html	C:/wamp64/www/theme-tempalet/dashboard8/droopy/hencework.com/theme/droopy/full-width-light/product-cart.html	(from https://hencework.com/theme/droopy/full-width-light/index.html)
16:52:04	66726/66726	---M-Z	200	added ('OK')	text/html	etag:%2230a18dd-104a6-5699b4579a280-gzip%22	https://hencework.com/theme/droopy/full-width-light/product-checkout.html	C:/wamp64/www/theme-tempalet/dashboard8/droopy/hencework.com/theme/droopy/full-width-light/product-checkout.html	(from https://hencework.com/theme/droopy/full-width-light/index.html)
16:52:04	48756/48756	---M--	200	added ('OK')	image/jpeg	etag:%2230e1ca7-be74-53ed823522f80%22	https://hencework.com/theme/droopy/img/chair.jpg	C:/wamp64/www/theme-tempalet/dashboard8/droopy/hencework.com/theme/droopy/img/chair.jpg	(from https://hencework.com/theme/droopy/full-width-light/index.html)
16:52:04	30135/30135	---M--	200	added ('OK')	image/jpeg	etag:%2230e1ca8-75b7-53ed823522f80%22	https://hencework.com/theme/droopy/img/chair2.jpg	C:/wamp64/www/theme-tempalet/dashboard8/droopy/hencework.com/theme/droopy/img/chair2.jpg	(from https://hencework.com/theme/droopy/full-width-light/index.html)
16:52:04	42035/42035	---M--	200	added ('OK')	image/jpeg	etag:%2230e1ca9-a433-53ed823522f80%22	https://hencework.com/theme/droopy/img/chair3.jpg	C:/wamp64/www/theme-tempalet/dashboard8/droopy/hencework.com/theme/droopy/img/chair3.jpg	(from https://hencework.com/theme/droopy/full-width-light/index.html)
16:52:04	30640/30640	---M--	200	added ('OK')	image/jpeg	etag:%2230e1caa-77b0-53ed823522f80%22	https://hencework.com/theme/droopy/img/chair4.jpg	C:/wamp64/www/theme-tempalet/dashboard8/droopy/hencework.com/theme/droopy/img/chair4.jpg	(from https://hencework.com/theme/droopy/full-width-light/index.html)
16:52:05	30675/30675	---M--	200	added ('OK')	image/jpeg	etag:%2230e1c9e-77d3-547f9e9e3c300%22	https://hencework.com/theme/droopy/img/avatar.jpg	C:/wamp64/www/theme-tempalet/dashboard8/droopy/hencework.com/theme/droopy/img/avatar.jpg	(from https://hencework.com/theme/droopy/full-width-light/index.html)
